地名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,再生資源ゴミ
大安寺町,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
大安寺西１～３丁目,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
高畑町（下記を除く地域）,奈良市収集課,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
高畑町（天理街道西側＆ならまち大通り北側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
高天市町（やすらぎの道東側）,奈良市清美公社,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
高天市町（やすらぎの道西側）,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
高天町（大宮通りの南側）,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
高天町（大宮通り北側＆やすらぎの道西側）,奈良市収集課,月 木,隔水20160413,金,20160705 20160802 20160830 20160927 20991231
高天町（大宮通り北側＆やすらぎの道東側）,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
高御門町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
田中町（天理街道の東側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
田中町（天理街道の西側）,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
多門町,奈良市収集課,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
樽井町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
中院町（奈良まち大通りの南側）,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
中院町（奈良まち大通りの北側）,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
千丘ヶ丘１～３丁目,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
築地之内町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
角振新屋町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
角振町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
椿井町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
鶴福院町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
鶴舞西町,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
鶴舞東町,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
手貝町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
帝塚山１～６丁目,奈良市清美公社,月 木,隔水20160413,火,20160704 20160801 20160829 20160926 20991231
帝塚山中町,奈良市清美公社,月 木,隔水20160413,火,20160704 20160801 20160829 20160926 20991231
帝塚山西１・２丁目,奈良市清美公社,月 木,隔水20160413,火,20160630 20160728 20160825 20160922 20991231
帝塚山南１～５丁目,奈良市清美公社,月 木,隔水20160413,火,20160630 20160728 20160825 20160922 20991231
出屋敷町（ＪＲ桜井線の東側）,奈良市清美公社,火 金,隔水20160406,月,20160621 20160719 20160816 20160913 20991231
出屋敷町（ＪＲ桜井線の西側）,奈良市収集課,火 金,隔水20160406,木,20160621 20160719 20160816 20160913 20991231
寺町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
東九条町,奈良市収集課,火 金,隔水20160406,木,20160621 20160719 20160816 20160913 20991231
富雄泉ヶ丘,奈良市清美公社,月 木,隔水20160413,火,20160704 20160801 20160829 20160926 20991231
富雄川西１・２丁目,奈良市清美公社,月 木,隔水20160413,金,20160616 20160714 20160811 20160908 20991231
富雄元町１～４丁目,奈良市収集課,火 金,隔水20160406,月,20160704 20160801 20160829 20160926 20991231
富雄北１～３丁目,奈良市収集課,月 木,隔水20160413,火,20160616 20160714 20160811 20160908 20991231
登美ヶ丘１～６丁目,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
鳥見町１～４丁目,奈良市清美公社,月 木,隔水20160413,金,20160616 20160714 20160811 20160908 20991231
中筋町,奈良市清美公社,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
中辻町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
中登美ヶ丘１丁目Ａ棟,奈良市清美公社,公社,公社,公社,20160613 20160711 20160808 20160905 20991231
中登美ヶ丘２丁目,奈良市清美公社,月 木,隔水20160413,金,20160613 20160711 20160808 20160905 20991231
中登美ヶ丘５・６丁目,奈良市清美公社,月 木,隔水20160413,金,20160623 20160721 20160818 20160915 20991231
中新屋町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
中町（富雄川の東側および北側）,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
中町（富雄川の西側および南側）,奈良市清美公社,月 木,隔水20160413,火,20160630 20160728 20160825 20160922 20991231
中御門町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
中山町,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
中山町西１～４丁目,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
内侍原町（やすらぎの道東側、二条線北側、やすらぎの道沿）,奈良市収集課,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
内侍原町（上記以外のやすらぎの道東側）,奈良市清美公社,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
内侍原町（やすらぎの道西側）,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
鍋屋町（下記以外の地域）,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
鍋屋町（市道二条線に面した地域）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
奈保町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
奈良阪町（奈良加茂線の東側,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
奈良阪町（奈良加茂線の西側,奈良市収集課,月 木,隔水20160413,金, 20991231
鳴川町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
西包永町,奈良市収集課,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
西木辻町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
西紀寺町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
西笹鉾町,奈良市収集課,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
西城戸町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
西新在家号所町,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
西新在家町,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
西千代ヶ丘１～３丁目,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
西寺林町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
西登美ヶ丘１～８丁目,奈良市収集課,月 木,隔水20160413,火,20160623 20160721 20160818 20160915 20991231
西ノ京町,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
西之阪町,奈良市清美公社,火 金,隔水20160406,木,20160615 20160713 20160810 20160907 20991231
西新屋町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
西御門町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
二条大路南１～５丁目,奈良市収集課,月 木,隔水20160413,金,20160621 20160719 20160816 20160913 20991231
二条町１～３丁目,奈良市収集課,月 木,隔水20160413,金,20160706 20160803 20160831 20160928 20991231
二名１・２丁目,奈良市収集課,月 木,隔水20160413,火,20160616 20160714 20160811 20160908 20991231
二名３～７丁目,奈良市清美公社,月 木,隔水20160413,金,20160616 20160714 20160811 20160908 20991231
二名東町,奈良市収集課,月 木,隔水20160413,火,20160616 20160714 20160811 20160908 20991231
二名平野１・２丁目,奈良市収集課,月 木,隔水20160413,火,20160623 20160721 20160818 20160915 20991231
納院町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
登大路町（下記を除く地域）,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
登大路町（市道北部91号線に面した地域）,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
橋本町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
畑中町,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
八条１～３・５丁目,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
八条４丁目（国道２４号線の東側）,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
八条４丁目（国道２４号線の西側）,奈良市収集課,火 金,隔水20160406,月,20160617 20160715 20160812 20160909 20991231
八条町（国道２４号線の東側）,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
八条町（国道２４号線の西側）,奈良市収集課,火 金,隔水20160406,月,20160617 20160715 20160812 20160909 20991231
花芝町,奈良市清美公社,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
花園町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
馬場町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
林小路町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
半田突抜町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
半田開町,奈良市収集課,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
半田横町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
般若寺町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
東包永町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
東木辻町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
東紀寺町１～３丁目,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
東笹鉾町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
東城戸町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
東寺林町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
東登美ヶ丘１～３丁目,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
東登美ヶ丘４～６丁目,奈良市収集課,月 木,隔水20160413,火,20160623 20160721 20160818 20160915 20991231
東之阪,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
東向北町,奈良市清美公社,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
東向中町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
東向南町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
疋田町,奈良市収集課,月 木,隔水20160413,金,20160622 20160720 20160817 20160914 20991231
疋田町１～５丁目,奈良市収集課,月 木,隔水20160413,金,20160622 20160720 20160817 20160914 20991231
毘沙門町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
白毫寺町,奈良市収集課,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
百万ヶ辻子町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
百楽園１～５丁目,奈良市収集課,月 木,隔水20160413,火,20160620 20160718 20160815 20160912 20991231
平松１～５丁目,奈良市収集課,火 金,隔水20160406,月,20160622 20160720 20160817 20160914 20991231
福智院町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
不審ヶ辻子町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
藤ノ木台１～４丁目,奈良市清美公社,火 金,隔水20160406,木,20160630 20160728 20160825 20160922 20991231
藤原町（県道高畑山船の東側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
藤原町（県道高畑山船の西側）,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
船橋町,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
古市町（県道高畑山船の東側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
古市町（県道高畑山船の西側）,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
坊屋敷町,奈良市清美公社,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
宝来１～５丁目,奈良市収集課,火 金,隔水20160406,月,20160622 20160720 20160817 20160914 20991231
宝来町,奈良市収集課,月 木,隔水20160413,金,20160622 20160720 20160817 20160914 20991231
法蓮佐保山１・２丁目,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
法蓮佐保山３・４丁目（奈良加茂線の東側）,奈良市収集課,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
法蓮佐保山３・４丁目（奈良加茂線の西側）,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
法蓮町（やすらぎの道・奈良加茂線の東側）,奈良市収集課,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
法蓮町（やすらぎの道・奈良加茂線の西側）,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
法華寺町,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
本子守町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
大豆山町,奈良市清美公社,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
大豆山突抜町,奈良市清美公社,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
丸山１・２丁目,奈良市清美公社,月 木,隔水20160413,火,20160630 20160728 20160825 20160922 20991231
山陵町（近鉄京都線の東側）,奈良市収集課,月 木,隔水20160413,金,20160613 20160711 20160808 20160905 20991231
山陵町（近鉄京都線の西側）,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
三碓１～４・７丁目,奈良市収集課,火 金,隔水20160406,月,20160704 20160801 20160829 20160926 20991231
三碓５丁目,奈良市清美公社,月 木,隔水20160413,金,20160704 20160801 20160829 20160926 20991231
三碓６丁目,奈良市清美公社,月 木,隔水20160413,火,20160704 20160801 20160829 20160926 20991231
三碓町（阪奈道路の南側）,奈良市清美公社,月 木,隔水20160413,火,20160616 20160714 20160811 20160908 20991231
三碓町（阪奈道路の北側）,奈良市清美公社,月 木,隔水20160413,金,20160616 20160714 20160811 20160908 20991231
三棟町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南魚屋町（ならまち大通りの南側）,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南魚屋町（ならまち大通りの北側）,奈良市清美公社,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南肘塚町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
南紀寺町１～５丁目 ,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南京終町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南京終町１～７丁目,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南城戸町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南新町（ミナミシンチョウ）,奈良市収集課,火 金,隔水20160406,月,20160705 20160802 20160830 20160927 20991231
南新町（ミナミシンマチ）,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南登美ヶ丘,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
南永井町（下記を除く地域）,奈良市清美公社,火 金,隔水20160406,月,20160621 20160719 20160816 20160913 20991231
南永井町（北之庄八島線の北川＆ＪＲ桜井線西側）,奈良市収集課,火 金,隔水20160406,木,20160621 20160719 20160816 20160913 20991231
南中町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南半田中町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
南半田西町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
南半田東町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
南袋町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南風呂町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
三松１～４丁目,奈良市清美公社,月 木,隔水20160413,金,20160616 20160714 20160811 20160908 20991231
三松ヶ丘,奈良市清美公社,月 木,隔水20160413,金,20160616 20160714 20160811 20160908 20991231
餅飯殿町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
薬師堂町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
八島町（県道高畑山線の東側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
八島町（県道高畑山線の西側）,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
柳町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
山町（下記を除く地域）,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
山町（県道高畑山線の東側および南側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
油留木町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
横井１～７丁目,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
横井町,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
横領町,奈良市収集課,月 木,隔水20160413,金,20160706 20160803 20160831 20160928 20991231
六条１～３丁目,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
六条町,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
六条西１～６丁目,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
六条緑町１～３丁目,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
鹿野園町（岩井川の南側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
鹿野園町（岩井川の北側）,奈良市収集課,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
若葉台１～４丁目,奈良市収集課,月 木,隔水20160413,金,20160706 20160803 20160831 20160928 20991231
脇戸町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231

